id,soru,cevapa,cevapb,cevapc,cevapd,cevape,dogrucevap,verilencevap,dogruyanlis,aciklama,sinav,kacincisoru,kategori,resim
1,“Sivrilmek” sözcüğü aşağıdaki cümlelerin hangisinde “başkalarını geride bırakıp yükselmek veya ün kazanmak” anlamında kullanılmıştır?,Çenesine doğru sivrilen ince bir yüzü vardı.,Köpeğimin sivrilen dişleri çok keskin görünüyordu.,Dönemin yazarları arasından bir tek o sivrilmişti.,Uzun bir uğraştan sonra kalemimin ucu iyice sivrilmişti.,,C,,bos,,1,1,1,
3,"1. Yahya Kemal’in bazı şiirleri “Kendi Gök Kubbemiz” adı altında yayımlandı. 2. Ruşen Eşref Ünaydın’ın “Diyorlar ki” adlı eserini çok başarılı buldum. 3. Ömer Seyfettin, 13 Mart 1884’te Gönen’de doğdu.4. Halikarnas Balıkçısı en etkileyici eserlerini Bodrum’da yazmıştır. Numaralandırılmış cümlelerden hangileri öznel yargı içermektedir?",1 - 2 ,1 - 3,2 - 4 ,3 - 4,,C,,bos,,1,3,1,
5,"“Bir şehirde bütün ömrünü geçirenler, yaşadıkları o şehri ne kadar bilirler? Başka ülkelerden, başka şehirlerden gelip geçenler kadar doğru bakabilirler mi bulundukları şehre?” Bu parçada asıl anlatılmak istenen aşağıdakilerden hangisidir?",İnsanlar yaşadıkları şehri yeterince tanımayabilirler.,Yaşadıkları şehir insanlara her zaman değer katmayabilir.,Sevmediğimiz bir şehirde yaşamak istemeyebiliriz.,Yaşadığımız şehir bize aitlik duygusu vermeyebilir.,,A,,bos,,1,5,1,
6,"Bin atlı akınlarda çocuklar gibi şendik, Bin atlı, o gün dev gibi bir orduyu yendik. Bu dizelerdeki söz sanatları, aşağıdakilerin hangisinde birlikte verilmiştir?",Benzetme - Kişileştirme,Konuşturma - Abartma,Konuşturma - Kişileştirme,Benzetme - Abartma,,D,,bos,,1,6,1,
8,Aşağıdaki cümlelerin hangisinde amaç-sonuç ilişkisi vardır?,Sizinle tanıştığıma memnun oldum.,Araştırma yapmak için kütüphaneye gitti.,Yolda giderken arkadaşıma rastladım.,Eve gelir gelmez yatıp uyudu.,,B,,bos,,1,8,1,
9,"Günümüzde insanlara pek çok şekilde çeşitli bilgiler sunulmaktadır. Bu bilgilerin niçin sunulduğu konusunda bazı hususların tüketicilerle paylaşılması gerekir. Örneğin reklamlarda ürünlerin hep olumlu, göz alıcı taraflarının öne çıkarıldığı, diğer hususlar üzerinde çok fazla durulmadığı görülmektedir. Bu durum bilinçli bir tüketici olmayı maalesef engellemektedir. Bu metne göre, aşağıdakilerden hangisinin yapılması bilinçli bir tüketici olmayı sağlar?",Reklamlarda ürünlerin nasıl kullanılması gerektiğine dikkat çekilmelidir.,Reklamlarda sağlığa faydalı ürünler tanıtılmalıdır.,"Reklamlar, toplumun bütün kesimlerine hitap edecek şekilde düzenlenmelidir.",Reklam ürünlerinin hem artıları hem eksileri gösterilmelidir.,,D,,bos,,1,9,1,
10," Başlık, gazete okurları üzerinde canlı ve uyarıcı bir etki bırakır. Kısa haberler sunar ve okumaya isteklendirir. Bir gazetenin sayfalarını hızla çeviren kişi, ilginç başlıklar ve fotoğraflar görünce bir an durur. Bu yüzden başlıklar, gazeteye şöyle bir göz gezdirenleri bile okumaya sevk etmelidir. Başlıkların bu etkiyi yaratabilmeleri için hem açık bir ifade biçimine hem de biraz hayal gücüne sahip olmaları beklenir. Haberlerin canlı başlıklarla, okumaya isteklendirici biçimde sunulması gazetecilerin elindedir. Bu metinde, gazete başlıklarıyla ilgili olarak aşağıda verilen özelliklerin hangisine değinilmemiştir?",İlgi çekici olmalı,Konuya uygun olmalı,Okumaya yönlendirmeli,Okuyucusunu etkilemeli,,B,,bos,,1,10,1,
11," Yaz güneşinin altında, derileri pırıl pırıl yanan kahverengi atların çektiği renk renk yarış arabalarının hızla meydanı döndükleri canlandı gözlerimin önünde. Arabaları çeken atlar kadar gergin,  ter içinde kalmış sürücülerin haykırışları yankılandı kulaklarımda. Bu metnin dil ve anlatımıyla ilgili olarak aşağıdakilerden hangisi söylenemez?",Örneklemelerden yararlanılmıştır.,Devrik cümlelere yer verilmiştir.,İkilemelere başvurulmuştur.,"Olay, birinci kişi ağzından anlatılmıştır.",,A,,bos,,1,11,1,
12," Bilim adamları, henüz yaratıcılıkla ilgili genler konusunda konuşmuyor. Bir yaratıcılık geni var mı? Bilmiyoruz. Ama sanatçı aileleri biliyoruz. Onlara bakacak olursak böylesi bir genin varlığına inanmamız gerekiyor. Yazar, bu metinle aşağıdaki soruların hangisine cevap vermiştir?",Yaratıcılıkla bilimin ne gibi bir ilişkisi vardır?,Yaratıcılık doğuştan gelen bir özellik midir?,Yaratıcılık hakkında sanatçılar ne diyor?,Yaratıcılık herkeste bulunur mu?,,B,,bos,,1,12,1,
14, Aşağıdaki cümlelerden hangisi yalnızca özne ve yüklemden oluşmaktadır?,Beyefendi içini çekerek bir sıraya oturdu.,"Tombul, mavimtırak bir güvercin hızla yola indi.",Altmış yaşlarındaki zayıf ve esmer adam geldi.,Akşam yemeğinden hemen sonra herkes dağıldı.,,C,,bos,,1,14,1,
